registrar_id,hostname,ip,timestamp
264,,136.234.57.61,2016-10-27 12:59:59.597
264,,136.234.57.61,2016-10-27 13:00:05.253
264,,136.234.57.61,2016-10-27 13:00:06.258
264,,136.234.57.61,2016-10-27 13:01:32.731
264,,136.234.57.61,2016-10-27 19:09:41.288
264,,136.234.57.61,2016-10-27 19:16:01.862
264,,136.234.57.61,2016-10-27 19:18:24.039
264,,136.234.57.61,2016-11-01 11:15:49.786
264,,136.234.57.61,2016-11-01 15:12:20.193
136,co.crow-wing.mn.us.,136.234.7.5,2016-10-27 13:32:36.199
136,co.crow-wing.mn.us.,136.234.7.5,2016-10-27 13:35:00.182
136,co.crow-wing.mn.us.,136.234.7.5,2016-10-27 13:35:01.189
136,co.crow-wing.mn.us.,136.234.7.5,2016-10-27 13:35:50.836
136,co.crow-wing.mn.us.,136.234.7.5,2016-10-27 13:41:23.739
136,co.crow-wing.mn.us.,136.234.7.5,2016-10-27 13:41:48.646
136,co.crow-wing.mn.us.,136.234.7.5,2016-10-27 13:41:49.654
136,co.crow-wing.mn.us.,209.212.33.24,2016-10-27 13:46:00.428
136,co.crow-wing.mn.us.,136.234.7.5,2016-10-27 13:52:20.530
136,co.crow-wing.mn.us.,136.234.7.5,2016-10-27 14:04:35.803
136,co.crow-wing.mn.us.,136.234.7.5,2016-10-27 14:31:51.231
136,co.crow-wing.mn.us.,136.234.7.5,2016-10-27 15:05:15.064
136,co.crow-wing.mn.us.,136.234.7.5,2016-10-27 15:23:51.153
136,co.crow-wing.mn.us.,136.234.7.5,2016-10-27 16:57:34.668
136,co.crow-wing.mn.us.,136.234.7.5,2016-10-28 12:52:58.897
136,co.crow-wing.mn.us.,136.234.7.5,2016-10-28 12:53:04.510
136,co.crow-wing.mn.us.,136.234.7.5,2016-10-28 12:54:29.810
136,co.crow-wing.mn.us.,136.234.7.5,2016-10-28 12:54:34.525
136,co.crow-wing.mn.us.,136.234.7.5,2016-10-28 12:54:34.940
136,co.crow-wing.mn.us.,136.234.7.5,2016-10-28 13:31:00.936
136,co.crow-wing.mn.us.,136.234.7.5,2016-10-28 14:27:17.906
136,co.crow-wing.mn.us.,136.234.7.5,2016-10-28 14:27:50.928
136,co.crow-wing.mn.us.,136.234.7.5,2016-10-28 14:39:32.721
136,co.crow-wing.mn.us.,136.234.7.5,2016-10-28 14:41:55.971
136,co.crow-wing.mn.us.,136.234.7.5,2016-10-28 14:41:58.891
136,co.crow-wing.mn.us.,136.234.7.5,2016-10-28 17:38:02.810
136,co.crow-wing.mn.us.,136.234.7.5,2016-10-28 17:46:42.520
136,co.crow-wing.mn.us.,136.234.7.5,2016-10-28 17:46:42.691
136,co.crow-wing.mn.us.,136.234.7.5,2016-10-31 14:09:35.930
136,co.crow-wing.mn.us.,136.234.7.5,2016-10-31 14:10:11.549
136,co.crow-wing.mn.us.,136.234.7.5,2016-10-31 14:10:11.516
136,co.crow-wing.mn.us.,136.234.7.5,2016-10-31 14:10:36.748
136,co.crow-wing.mn.us.,136.234.7.5,2016-10-31 14:10:37.201
136,co.crow-wing.mn.us.,136.234.7.5,2016-10-31 14:11:36.208
136,co.crow-wing.mn.us.,136.234.7.5,2016-10-31 15:04:48.124
136,co.crow-wing.mn.us.,136.234.7.5,2016-10-31 16:21:11.871
136,co.crow-wing.mn.us.,136.234.7.5,2016-11-01 13:19:13.893
136,co.crow-wing.mn.us.,136.234.7.5,2016-11-01 13:19:14.643
136,co.crow-wing.mn.us.,136.234.7.5,2016-11-01 13:19:16.577
136,co.crow-wing.mn.us.,136.234.7.5,2016-11-01 13:19:31.266
136,co.crow-wing.mn.us.,136.234.7.5,2016-11-01 13:19:41.459
