registrar_id,hostname,ip,timestamp,gmail_proxy
5190,165-234-248-116.state.nd.us.,165.234.248.116,2016-10-31 16:09:00.013,FALSE
4531,,164.154.197.194,2016-10-31 15:26:14.847,FALSE
4531,,164.154.80.77,2016-10-31 15:34:51.846,FALSE
4531,,164.154.80.77,2016-10-31 15:42:56.817,FALSE
4531,,164.154.80.25,2016-10-31 15:43:18.969,FALSE
4531,,164.154.80.25,2016-10-31 15:44:44.526,FALSE
4531,,164.154.80.25,2016-10-31 15:47:23.246,FALSE
4531,,164.154.80.25,2016-10-31 15:47:28.522,FALSE
4531,,164.154.80.25,2016-10-31 15:47:28.521,FALSE
4531,,164.154.80.25,2016-10-31 16:01:54.498,FALSE
4531,,164.154.80.25,2016-10-31 16:01:55.773,FALSE
4531,,164.154.80.25,2016-10-31 16:02:01.573,FALSE
4531,,198.180.188.182,2016-10-31 16:07:26.192,FALSE
4531,,198.180.188.182,2016-10-31 16:07:26.701,FALSE
4531,,164.154.80.77,2016-10-31 16:09:02.337,FALSE
4531,,164.154.80.77,2016-10-31 16:09:05.426,FALSE
4531,,164.154.80.77,2016-10-31 16:09:15.025,FALSE
4531,,164.154.80.25,2016-10-31 16:15:38.509,FALSE
4531,,164.154.80.25,2016-10-31 21:43:17.257,FALSE
4531,,164.154.80.25,2016-10-31 21:44:35.926,FALSE
4531,,164.154.80.77,2016-11-01 13:34:01.245,FALSE
4531,,164.154.80.77,2016-11-01 13:34:16.188,FALSE
4531,,164.154.80.77,2016-11-01 13:34:38.306,FALSE
4531,,164.154.80.77,2016-11-01 13:34:38.925,FALSE
4531,,208.71.217.162,2016-11-01 13:35:49.557,FALSE
4531,,208.71.217.162,2016-11-01 13:37:30.032,FALSE
4531,,164.154.80.77,2016-11-01 15:13:39.119,FALSE
4531,,164.154.80.77,2016-11-01 15:13:39.804,FALSE
4531,,164.154.80.25,2016-11-01 19:21:27.732,FALSE
9901,165-234-248-93.state.nd.us.,165.234.248.93,2016-10-31 16:09:20.791,FALSE
9901,165-234-248-93.state.nd.us.,165.234.248.93,2016-10-31 16:09:21.016,FALSE
9901,165-234-248-93.state.nd.us.,165.234.248.93,2016-10-31 16:09:31.254,FALSE
9901,165-234-248-93.state.nd.us.,165.234.248.93,2016-10-31 16:09:32.284,FALSE
8328,google-proxy-66-249-80-8.google.com.,66.249.80.8,2016-10-31 16:09:47.193,TRUE
7990,66-186-98-3.clearwave.com.,66.186.98.3,2016-10-31 16:09:50.992,FALSE
7990,66-186-98-3.clearwave.com.,66.186.98.3,2016-10-31 16:10:02.328,FALSE
7990,66-186-98-3.clearwave.com.,66.186.98.3,2016-10-31 16:10:02.566,FALSE
7990,66-186-98-3.clearwave.com.,66.186.98.3,2016-10-31 16:10:02.636,FALSE
6600,h29.126.20.98.static.ip.windstream.net.,98.20.126.29,2016-10-31 16:10:05.419,FALSE
8812,ip-198-252-245-194.vbgov.com.,198.252.245.194,2016-10-31 16:10:17.499,FALSE
8812,ip-198-252-245-194.vbgov.com.,198.252.245.194,2016-10-31 16:10:17.538,FALSE
5952,static-69-161-98-99.cpe.metrocast.net.,69.161.98.99,2016-10-31 13:56:16.356,FALSE
5952,static-69-161-98-99.cpe.metrocast.net.,69.161.98.99,2016-10-31 13:56:17.338,FALSE
5952,static-69-161-98-99.cpe.metrocast.net.,69.161.98.99,2016-10-31 14:28:22.603,FALSE
5952,static-69-161-98-99.cpe.metrocast.net.,69.161.98.99,2016-10-31 14:28:22.944,FALSE
5952,static-69-161-98-99.cpe.metrocast.net.,69.161.98.99,2016-10-31 16:10:23.586,FALSE
5952,static-69-161-98-99.cpe.metrocast.net.,69.161.98.99,2016-11-03 13:05:21.635,FALSE
5952,static-69-161-98-99.cpe.metrocast.net.,69.161.98.99,2016-11-03 13:05:21.870,FALSE
1760,mail0.ess.barracuda.com.,64.235.153.8,2016-10-31 14:53:47.969,FALSE
1760,mail0.ess.barracuda.com.,98.103.179.220,2016-10-31 16:08:09.515,FALSE
1760,mail0.ess.barracuda.com.,98.103.179.220,2016-10-31 16:08:09.612,FALSE
1760,mail0.ess.barracuda.com.,98.103.179.220,2016-10-31 16:11:06.814,FALSE
1760,mail0.ess.barracuda.com.,98.103.179.220,2016-10-31 16:11:07.821,FALSE
1760,mail0.ess.barracuda.com.,98.103.179.220,2016-10-31 21:51:11.540,FALSE
1760,mail0.ess.barracuda.com.,98.103.179.220,2016-11-01 17:37:25.823,FALSE
1760,mail0.ess.barracuda.com.,98.103.179.220,2016-11-01 17:44:48.888,FALSE
3336,www.tetonwyo.org.,199.192.127.66,2016-10-31 15:29:08.298,FALSE
3336,www.tetonwyo.org.,199.192.127.66,2016-10-31 15:29:08.678,FALSE
3336,www.tetonwyo.org.,199.192.127.66,2016-10-31 16:11:41.331,FALSE
3336,www.tetonwyo.org.,199.192.127.66,2016-10-31 16:12:01.699,FALSE
3336,www.tetonwyo.org.,199.192.127.66,2016-10-31 17:34:49.561,FALSE
7634,75-133-47-5.dhcp.bycy.mi.charter.com.,75.133.47.5,2016-10-31 16:12:53.583,FALSE
7461,mail.stjosephcounty.org.,207.72.49.66,2016-10-31 16:13:33.906,FALSE
7461,mail.stjosephcounty.org.,207.72.49.66,2016-10-31 16:13:34.868,FALSE
5847,google-proxy-66-249-80-8.google.com.,66.249.80.8,2016-10-31 16:13:40.442,TRUE
701,69-179-7-180.dyn.centurytel.net.,69.179.7.180,2016-10-31 16:09:06.771,FALSE
701,69-179-7-180.dyn.centurytel.net.,69.179.7.180,2016-10-31 16:13:44.303,FALSE
701,69-179-7-180.dyn.centurytel.net.,69.179.7.180,2016-10-31 16:13:44.848,FALSE
226,mail.monongalia.countyclerk.com.,50.248.93.113,2016-10-31 16:13:53.943,FALSE
4089,24-119-18-162.cpe.cableone.net.,24.119.18.162,2016-10-31 16:13:56.006,FALSE
4089,24-119-18-162.cpe.cableone.net.,24.119.18.162,2016-10-31 16:13:56.005,FALSE
